StockCode,Month,UnitsSold,AvgPrice,Revenue
10002,2010-12,224,0.85,190.39999999999998
10002,2011-01,337,0.85,286.45
10002,2011-02,50,0.85,42.5
10002,2011-03,23,0.85,19.549999999999997
10002,2011-04,189,0.85,160.65
10080,2011-02,2,0.85,1.7
10080,2011-06,48,0.39,18.72
10080,2011-07,24,0.39,9.36
10080,2011-08,60,0.39,23.4
10080,2011-09,60,0.39,23.4
10080,2011-10,6,0.38999999999999996,2.34
10080,2011-11,91,0.38999999999999996,35.489999999999995
10120,2010-12,16,0.21,3.36
10120,2011-02,30,0.21,6.3
10120,2011-03,29,0.21000000000000002,6.09
10120,2011-05,3,0.21,0.63
10120,2011-07,5,0.21,1.05
10120,2011-08,35,0.21,7.35
10120,2011-09,10,0.21,2.1
10120,2011-10,10,0.21,2.1
10120,2011-11,49,0.21,10.29
10120,2011-12,6,0.21,1.26
10125,2010-12,143,0.6657142857142857,78.55
10125,2011-01,160,0.42,67.2
10125,2011-03,112,0.85,95.19999999999999
10125,2011-04,82,0.85,69.7
10125,2011-05,107,0.85,90.95
10125,2011-06,13,0.85,11.049999999999999
10125,2011-07,176,0.85,149.6
10125,2011-08,85,0.85,72.25
10125,2011-09,210,0.85,178.5
10125,2011-10,50,0.85,42.5
10125,2011-11,62,0.85,52.7
10125,2011-12,26,0.85,22.1
10133,2010-12,123,0.7507692307692307,78.75
10133,2011-01,90,0.5275,42.1
10133,2011-02,37,0.85,31.45
10133,2011-03,83,0.85,70.55
10133,2011-04,75,0.85,63.75
10133,2011-05,33,0.85,28.05
10133,2011-06,448,0.4477419354838709,201.06
10133,2011-07,662,0.42,278.04
10133,2011-08,640,0.42,268.8
10133,2011-09,193,0.42000000000000004,81.06
10135,2010-12,366,0.7617647058823529,191.9
10135,2011-01,400,0.6966666666666667,217.8
10135,2011-02,263,1.1042857142857143,274.15
10135,2011-03,117,1.1577777777777778,96.45
10135,2011-04,30,1.25,37.5
10135,2011-05,8,1.25,10.0
10135,2011-06,55,1.25,68.75
10135,2011-07,177,1.25,221.25
10135,2011-08,152,1.2120000000000002,171.0
10135,2011-09,68,1.518888888888889,94.68
10135,2011-10,69,1.6223076923076922,100.77
10135,2011-11,165,1.49,207.76
10135,2011-12,68,1.492,94.68
11001,2010-12,65,1.69,109.85
11001,2011-01,32,1.69,54.08
11001,2011-02,16,1.69,27.04
11001,2011-03,49,1.6900000000000002,82.81
11001,2011-04,35,1.6900000000000002,59.15
11001,2011-05,96,1.69,162.24
11001,2011-06,96,1.69,162.24
11001,2011-07,53,1.69,89.57
11001,2011-08,498,1.5219999999999998,646.74
11001,2011-09,79,1.89,136.70999999999998
11001,2011-10,112,2.223333333333333,208.48
